,企業名,仕事内容,初年度年収
25,株式会社アウトソーシングテクノロジー | R&D事業本部 | 正社員×安心して長く働く×大手メーカーと直取引,＜ものづくりエンジニアとして着実なキャリアパスを実現！＞◆今までの経験を活かしながら、メカ・ロボットに携わる技術者として活躍して頂きます！,300万円～500万円
26,株式会社貴順 | ★未経験歓迎★初期費用0円★週払い・日払い制度有★男女活躍中,【寮制度あり！首都圏エリアでのお仕事を積極支援！】個人宅への宅配やルート配送★軽自動車（AT車）で運ぶので安心★車両のレンタル・持ち込みOK！,100万円～1000万円
27,株式会社サカイ引越センター | 《 東証一部上場企業 》★月給25万円★賞与年3回★土日休みもOK,《 お客様の引越しをサポートする仕事 》馴染みがある街で働く！お客様の荷物を新しいお家にお届けします。配達だけではない心あたたまるやりとりも◎,400万円～550万円
28,日研トータルソーシング株式会社 | 【大阪府緊急雇用対策に賛同】★オンライン説明会開催中！,【同期と一緒の合同研修からスタートできるから安心！】ロボット・機械の点検や部品交換、メンテナンス、検査などをお任せします★定着率95%以上,
29,UTコンストラクション株式会社 | ★大手グループの安定基盤★土日祝休み,【未経験入社者の平均月収29万円】建設プロジェクトにおける、写真撮影・関係者との打ち合わせ・スタッフの勤怠管理等を担当★意欲重視の採用です！,350万円～650万円
30,株式会社ビッグモーター | 【業界No.1】最高年収2282万円◆未経験歓迎◆全国で200名採用！,《ノルマなしの完全反響スタイル！》お客様の来店や問合せに対してクルマの販売や買取を行います。★お客様の3人に1人が契約につながっています。,330万円～1500万円
31,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★WEB面接OK,【地道な作業が好きな方は打ってつけのお仕事！】ものづくり工場にて、製品の箱づめ・在庫確認・納品チェック等の業務を担当★6月入社歓迎,300万円～500万円
32,UTコンストラクション株式会社 | 大手グループ・安定基盤／年休120日以上・土日休み,＜社員の平均月収は29.2万円＞研修も充実！各種データ集計、スケジュール表作成、資材発注など建設プロジェクトサポートを担当。★6月・7月入社歓迎,350万円～650万円
33,株式会社ビッグモーター | 業界No.1◆月給23万9800円～☆残業ほぼなし☆面接1回,【20代の女性活躍中♪】来店されたお客さまの受付、データ入力、電話対応などをお任せします。,300万円～550万円
34,エスリード株式会社 | 【東証一部上場企業】業界トップクラスのマンションデベロッパー,【高単価かつ規模の大きい商品でやりがいも大きい！】自社オリジナルマンションを個人のお客様へ提案するお仕事です。,450万円～1000万円
35,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,《ビジネスマナーから学べる！》 ◆ソフトバンクの法人向けスマホ、タブレットなどをご提案し、コスト削減や業務効率化をサポートします！,
36,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証1部上場グループ】,『テクノロジー能力開発センター』で特別カリキュラムを受講→配属後は半導体装置の点検/部品洗浄等シンプル作業からスタート★完全週休二日制,
37,環境ステーション株式会社 | ★土日祝休み ★残業月20ｈ以内 ★充実の教育制度 ★社宅有,資産形成をお考えのお客様に、価値の高い都心マンションを紹介 ★新しいビジネス様式にマッチした業務内容 ★ゼネラルリサーチ2020年・顧客満足度No.1,350万円～1500万円
38,株式会社ライジングサンセキュリティーサービス | ☆★新規事業拡大につき50名大募集★☆出張面接も行っています！,【福島県内主要駅周辺オフィスビル、商業施設、金融機関等の警備】★無理のないシフト★資格取得支援あり★成果は報酬に還元★バス・トイレ付の寮完備,300万円～600万円
39,株式会社タスカ | 大変だって、キツくったって―。稼げて、自由ならいいじゃない！,【未経験OK！イチから学べる♪】不動産会社からの情報収集からスタート！★入社3ヶ月で10件の買取物件を獲得の例も！◎月給25万円～＋インセンティブ,500万円～1000万円
40,UTエイム株式会社 | 【超スピード選考】最短当日面接＆当日採用(規定有)！,【キャリアアップ制度充実】大手メーカーで自動車製造！未経験から安心してスタートできます！自動車関連の製造工場で製造業務を担当,300万円～500万円
41,株式会社栄商 | 【U・Iターン歓迎】引越し費用会社負担 & 住宅費用補助あり,【官公庁案件100％】保有資格に合わせて、土木/建築/造園/管/電気のいずれかの工事の施工管理業務 ◎現場へは直行直帰OK ◎現場作業時は残業ほぼなし,600万円～1500万円
42,株式会社いーふらん | 高級宝飾時計商おたからや,残業禁止ゼロの【総合職（店舗買取／加盟店開発／加盟店SV／WEBディレクター）】　★期間限定で「入社お祝い金最大50万円」のキャンペーン実施中!★,600万円～2000万円
43,株式会社ビッグモーター | ＼社員の85%が平均年収860万円！／◆90%が営業未経験スタート！,【完全反響型！未経験から月収70万円も目指せます】ご来店・問い合わせのあったお客様へ車の販売・買取をお任せします※ノルマ・飛込み・テレアポなし,330万円～1500万円
44,株式会社ビッグモーター | 億単位の設備とクリーンな環境◆月8日以上休み／賞与年2回,《インセンがあるから月収50万円以上も可能》オイル交換などの簡単な業務から、定期点検や事故車の修理対応などをお任せします。★研修制度あり,300万円～1000万円
45,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証1部上場グループの安定基盤】,【好きな地でライフプランを設計したい方にオススメ！】モクモク＆コツコツ作業が中心！★スキルや経験がなくても安心して始められるお仕事です！,300万円～500万円
46,株式会社ガリレオコーポレーション | 『TVCMでお馴染み』の地場密着企業！昇給チャンスは年3回！！,◎営業／ノルマなし・ご案内業務が中心！営業未経験でも安心の研修体制です！　★社宅完備！U・Iターン希望者も歓迎します！,500万円～2000万円
47,株式会社NEXER | リフレッシュ休暇（勤続5年で5万＆5連休付与、10年だと倍に！）,【6ヵ月～1年間かけて丁寧に育成】◆ブランディングや集客など、『Webに関する企業の課題』を解決する提案営業をお任せします★土日祝休★残業月15H程,350万円～500万円
48,"高村撮影交通有限会社 | Takamura Shooting crew Transportation, Inc. | 転職者満足度◎",【好きを仕事に】芸能人・スタッフの送迎や機材の運搬など ★日本を代表する大型音楽フェスや、TV・TVCM・MV・雑誌の撮影を支えるワクワクする仕事！,360万円～500万円
49,株式会社comam | 今年4月に東京に拠点OPEN ／ 採用プロセスは原則WEB面接1回のみ,蓄電池や太陽光発電、オール電化といった省エネ商材をお客様に提案する仕事です ★ロープレや研修、先輩同行など丁寧に研修していきます！,
